wavelength_nm,glass_diffuse_reflectance,glass_diffuse_transmittance,glass_reflectance_percent,glass_transmittance_percent,source_R_file,source_T_file
456.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
456.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
457.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
457.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
458.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
458.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
459.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
459.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
460.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
460.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
461.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
461.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
462.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
462.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
463.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
463.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
464.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
464.5,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
465.0,0.005,0.005,0.5,0.5,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
