wavelength_nm,MR,MT,MR_corrected_percent,MT_corrected_percent,MR_raw_percent,MT_raw_percent,glass_R_percent,glass_T_percent,valid_iad_input,ratio_tag,thickness_um,sample_id,correction_method,source_R_file,source_T_file,glass_R_file,glass_T_file
369.5,0.562,0.001,56.2,0.1,58.7,2.6,2.5,2.5,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
370.0,0.564,0.003,56.4,0.3,58.9,2.7,2.5,2.4,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
370.5,0.568,0.004,56.8,0.4,59.2,2.8,2.4,2.4,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
371.0,0.57,0.005,57,0.5,59.4,2.9,2.4,2.4,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
371.5,0.576,0.01,57.6,1,59.6,3,2,2,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
372.0,0.581,0.015,58.1,1.5,59.8,3.1,1.7,1.6,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
372.5,0.587,0.02,58.7,2,60,3.3,1.3,1.3,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
373.0,0.593,0.025,59.3,2.5,60.2,3.4,0.9,0.9,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
373.5,0.598,0.029,59.8,2.9,60.4,3.5,0.6,0.6,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
374.0,0.602,0.03,60.2,3,60.8,3.6,0.6,0.6,1,X-X,70,X-X-70,sample_minus_glass_same_wavelength,inputs/511/X-X-70-R-D.txt,inputs/511/X-X-70-T-D.txt,inputs/511/Glass-R-D.txt,inputs/511/Glass-T-D.txt
